IDs         length   Exptl.  resolution  R-factor FreeRvalue
7ODCA       424      XRAY        1.600    0.20    0.23
3SWHA       341      XRAY        2.650    0.25    0.30
2AXPA       173      XRAY        2.500    0.26    0.29
4EIUA       249      XRAY        1.900    0.18    0.21
5LWAA       159      XRAY        1.650    0.17    0.20
5OF3B       307      XRAY        2.910    0.23    0.27
3T47A        81      XRAY        1.300    0.16    0.19
2NUTC       196      XRAY        2.300    0.22    0.27
3RC3A       677      XRAY        2.080    0.16    0.20
3L1NA       194      XRAY        1.300    0.18    0.20
5M1PA       191      XRAY        1.100    0.22    0.23
5TTYA       300      XRAY        1.800    0.20    0.23
4CN0A        97      XRAY        1.750    0.18    0.21
2BB3A       221      XRAY        2.270    0.22    0.27
5H0JA       244      XRAY        1.800    0.18    0.20
2AEFA       234      XRAY        1.700    0.23    0.27
1BOOA       323      XRAY        2.800    0.19    0.28
5CIOA       793      XRAY        2.500    0.20    0.26
2YXYA       115      XRAY        2.200    0.23    0.26
5VTMX       273      XRAY        2.040    0.20    0.25
3BSOA       510      XRAY        1.740    0.20    0.23
3M0ZA       249      XRAY        1.200    0.13    0.15
3HA2A       177      XRAY        1.800    0.20    0.23
5XDMA       119      XRAY        3.000    0.23    0.28
4ZLDA       155      XRAY        1.600    0.16    0.18
2IXSA       323      XRAY        2.000    0.18    0.21
4G6TB        82      XRAY        1.560    0.21    0.23
6ATRA       221      XRAY        1.290    0.17    0.18
4D8MA       587      XRAY        2.300    0.23    0.22
3DBYA       269      XRAY        2.100    0.20    0.26
1EZIA       228      XRAY        2.000    0.21    0.26
3CRJA       199      XRAY        2.600    0.24    0.29
3ZG9A        47      XRAY        1.800    0.18    0.21
2GRVA       621      XRAY        2.400    0.22    0.25
5WOQA       120      XRAY        1.950    0.20    0.24
3R3PA       105      XRAY        2.200    0.22    0.26
5CKWA       451      XRAY        2.490    0.21    0.26
2CVIA        83      XRAY        1.500    0.20    0.23
3LOUA       292      XRAY        1.900    0.19    0.22
1KPGA       287      XRAY        2.000    0.19    0.23
6DXTA       121      XRAY        1.950    0.20    0.24
4J27A       450      XRAY        1.590    0.16    0.18
3GKUA       225      XRAY        2.950    0.22    0.29
3UB6A       181      XRAY        1.380    0.12    0.15
3CZQA       304      XRAY        2.230    0.19    0.24
5SY8O       163      XRAY        1.620    0.17    0.21
1BH9A        45      XRAY        2.600    0.20    0.26
2YOPA       198      XRAY        2.300    0.19    0.23
3KJHA       254      XRAY        1.900    0.19    0.24
4WRIA       192      XRAY        1.400    0.17    0.20
1MJ5A       302      XRAY        0.950    0.11    0.14
2FJRA       189      XRAY        1.950    0.22    0.25
3WA2X       621      XRAY        1.080    0.13    0.15
2PR7A       137      XRAY        1.440    0.17    0.20
1P9HA       226      XRAY        1.550    0.20    0.20
6AONA       478      XRAY        1.720    0.17    0.20
4N4UA       326      XRAY        1.570    0.18    0.21
4TXWA       173      XRAY        1.400    0.15    0.17
1O5LA       213      XRAY        2.300    0.20    0.25
5VXVA       218      XRAY        1.550    0.17    0.19
